clg_id,clg_name,clg_phone,clg_website,clg_address,clg_admissionlink,,,,
2,Govt. General Degree College, Ranibandh,9434559288,,VPO-Rautara, P.S./Block-Ranibandh, Dist-Bankura, Pin-722135,https://banglaruchchashiksha.wb.gov.in/govt_colleges
3,Kabi Jagadram Roy Govt General Degree College, Mejia,03241-250250 / 9434246196,,Gopalpur, P.O.-Mejia, Dist-Bankura, Pin-722143,https://banglaruchchashiksha.wb.gov.in/govt_colleges
4,Govt. General Degree College, Mangalkote,9434241455,,Panchanantala, Khudrun Dighi, Mangalkote, Burdwan-713143,https://banglaruchchashiksha.wb.gov.in/govt_colleges
5,Govt. General Degree College, Kalna-I,9477501460,,Vill--Muragacha, Post--Medhgachi, Dist--Burdwan. Pin--713405,https://banglaruchchashiksha.wb.gov.in/govt_colleges,
6,Govt. General Degree College, Pedong,9832473615,,P.O.-Pedong, Dist-Darjeeling, Pin-734311,https://banglaruchchashiksha.wb.gov.in/govt_colleges,
7,Govt. General Degree College, Gorubathan,9477050062,,Gorubathan, P.O.- Fagu, Dist.- Darjeeling, Pin.-735231,https://banglaruchchashiksha.wb.gov.in/govt_colleges
8,Govt. General Degree College, Mohanpur,9732655703,,Mohanpur, P.O.-Mohanpur, Pin-721436,https://banglaruchchashiksha.wb.gov.in/govt_colleges,
9,Acharya Prafulla Chandra College,9836997268 / 033-2537-3297,,New Barrackpore, North 24 Pgs, Kol-700131,https://wbsu.ac.in/web/affiliated-colleges-contact/,,
10,Ali Yavar Jung National Institute of Speech and Hearing Disabilities (Divyangjan),9433184743 / 2531-1427,,Eastern Regional Centre , B.T.Road, Bonhooghly, Kol-700090,https://wbsu.ac.in/web/affiliated-colleges-contact/,
11,Amdanga Jugal Kishore Mahavidyalaya,9433565644 / 03216-260881,,P.O.-Sadhanpur, Uludanga, Amdanga, North 24 Pgs.,https://wbsu.ac.in/web/affiliated-colleges-contact/,
